id,nombre,descripcion,anio,inversion_recibida,id_etapa,id_departamento,id_sector,id_equipo,ingresos_anuales,empleados
18,Tecnologia 18 SPA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2019,3935300,1,14,1,18,9702242,229
19,Marketing Digital 19 LTDA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2022,4853102,4,15,10,19,4694091,259
20,Movilidad 20 Corp,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2023,2763352,5,14,4,20,6283894,152
21,Biotecnologia 21 SPA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2016,2421528,2,15,2,21,2898914,89
22,Tecnologia 22 LTDA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2019,3950764,3,16,1,22,3840385,148
23,Proptech 23 SAS,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2022,534590,1,13,11,23,9643141,73
24,Construccion 24 SA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2018,3416067,1,17,12,24,513904,131
25,Retail 25 SA,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2019,1808478,2,18,13,25,8728574,118
26,Ciberseguridad 26 SPA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2016,387309,3,5,8,26,4891467,240
27,Legaltech 27 Corp,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2023,2452265,2,14,14,27,6166655,53
28,Finanzas 28 SA,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2021,4015965,5,19,7,28,2438414,21
29,Agroindustria 29 SA,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2018,530174,3,6,5,29,1025727,188
30,Construccion 30 SA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2020,779967,5,5,12,30,240079,36
31,Legaltech 31 SAS,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2019,1079535,5,20,14,31,9430540,283
32,Ciberseguridad 32 Corp,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2025,3526927,5,21,8,32,637371,184
33,Salud 33 LTDA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2017,2761661,4,1,3,33,7541133,209
34,Construccion 34 SA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2022,4667437,2,21,12,34,9218161,87
35,Telecomunicaciones 35 SA,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2024,2298701,1,20,15,35,2114331,71
36,Ciberseguridad 36 SAS,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2023,4517357,1,22,8,36,2109260,162
37,Turismo 37 SAS,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2024,3728902,1,12,16,37,6593877,72
38,Salud 38 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2015,1117518,3,11,3,38,1486861,161
39,Salud 39 SAS,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2024,4590024,1,13,3,39,3234039,16
40,Retail 40 LTDA,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2018,407208,3,5,13,40,7172099,29
41,Turismo 41 SAS,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2018,4806003,3,23,16,41,7361765,115
42,Alimentos 42 SAS,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2015,328934,5,22,17,42,2700354,215
43,Industria 4.0 43 SPA,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2017,3625649,3,10,18,43,1823700,159
44,Proptech 44 SPA,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2021,4505408,5,24,11,44,8957493,6
45,Proptech 45 Corp,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2025,4654030,5,1,11,45,8123008,150
46,Marketing Digital 46 Corp,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2017,3174838,1,25,10,46,958917,95
47,Industria 4.0 47 SAS,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2021,4278664,5,15,18,47,1748217,273
48,Biotecnologia 48 LTDA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2019,4063984,2,3,2,48,3040431,78
49,Tecnologia 49 SA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2025,1530116,3,16,1,49,9444413,253
50,Salud 50 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2020,3710639,4,4,3,50,3851575,29
51,Ciberseguridad 51 SAS,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2022,966607,1,21,8,51,717632,285
52,Movilidad 52 Corp,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2018,1578991,1,10,4,52,2205181,12
53,Agroindustria 53 LTDA,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2019,2932400,1,10,5,53,3533200,253
54,Ciberseguridad 54 SPA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2018,2958380,5,26,8,54,3920055,188
55,Inteligencia Artificial 55 SAS,Empresa empresa del sector inteligencia artificial enfocada en innovacion y crecimiento sostenible.,2016,3118591,1,5,9,55,3014533,234
56,Alimentos 56 SAS,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2016,4287224,2,19,17,56,6666380,175
57,Educacion 57 SAS,Empresa empresa del sector educacion enfocada en innovacion y crecimiento sostenible.,2023,306570,2,6,19,57,3512942,246
58,Turismo 58 Corp,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2017,2799713,5,14,16,58,4118659,88
59,Alimentos 59 SPA,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2025,3915954,3,21,17,59,4604377,243
60,Industria 4.0 60 LTDA,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2024,4479253,4,3,18,60,2249579,232
61,Industria 4.0 61 SA,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2023,3530090,5,18,18,61,1470777,74
62,Telecomunicaciones 62 Corp,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2019,1325893,3,16,15,62,2769541,102
63,Retail 63 SA,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2017,2823728,5,26,13,63,2785711,94
64,Ciberseguridad 64 SA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2024,885839,5,12,8,64,7033317,70
65,Inteligencia Artificial 65 SAS,Empresa empresa del sector inteligencia artificial enfocada en innovacion y crecimiento sostenible.,2021,1369866,3,6,9,65,9634601,263
66,Marketing Digital 66 SA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2018,1025745,3,16,10,66,1664533,212
67,Legaltech 67 SA,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2016,2139729,2,3,14,67,9503134,102
68,Finanzas 68 SPA,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2016,3929989,5,24,7,68,5502348,17
69,Logistica 69 LTDA,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2022,1006063,2,9,6,69,8385719,188
70,Logistica 70 Corp,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2015,3168905,2,12,6,70,7633267,175
71,Alimentos 71 SA,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2021,3197523,2,15,17,71,2780897,207
72,Ciberseguridad 72 SAS,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2018,1955773,4,5,8,72,2676541,6
73,Biotecnologia 73 SPA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2015,1148001,2,17,2,73,4624360,128
74,Agroindustria 74 SA,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2023,502135,3,24,5,74,6483446,74
75,Turismo 75 SPA,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2020,3531817,5,18,16,75,4740174,33
76,Agroindustria 76 SPA,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2016,4176694,4,19,5,76,763242,72
77,Turismo 77 SAS,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2023,4258981,4,12,16,77,8137779,205
78,Proptech 78 Corp,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2015,1657037,4,11,11,78,5101634,169
79,Turismo 79 SA,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2025,3089903,5,7,16,79,1864362,294
80,Industria 4.0 80 SPA,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2016,1673428,5,10,18,80,5165853,174
81,Movilidad 81 Corp,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2022,4302652,2,22,4,81,9884489,78
82,Tecnologia 82 LTDA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2022,1784817,5,3,1,82,5591973,139
83,Ciberseguridad 83 SA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2018,565591,1,13,8,83,3888567,179
84,Construccion 84 SPA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2016,2638640,4,3,12,84,6459904,172
85,Telecomunicaciones 85 Corp,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2021,3872754,2,17,15,85,1922785,37
86,Educacion 86 SA,Empresa empresa del sector educacion enfocada en innovacion y crecimiento sostenible.,2018,2060392,2,10,19,86,3263129,249
87,Legaltech 87 SA,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2022,2025361,4,9,14,87,2008789,42
88,Alimentos 88 Corp,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2017,1900356,5,15,17,88,4194637,53
89,Turismo 89 SAS,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2020,2035388,1,24,16,89,8705061,148
90,Proptech 90 Corp,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2020,3939442,2,19,11,90,3592240,60
91,Movilidad 91 SPA,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2023,4638796,1,15,4,91,3496901,295
92,Industria 4.0 92 Corp,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2016,182929,3,24,18,92,1589233,242
93,Educacion 93 SA,Empresa empresa del sector educacion enfocada en innovacion y crecimiento sostenible.,2017,4535536,4,23,19,93,5270193,299
94,Energia 94 SA,Empresa empresa del sector energia enfocada en innovacion y crecimiento sostenible.,2022,633561,2,15,20,94,1649696,204
95,Biotecnologia 95 Corp,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2023,4635356,4,22,2,95,406493,224
96,Alimentos 96 SAS,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2018,861672,1,18,17,96,9879590,156
97,Turismo 97 Corp,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2020,322694,3,14,16,97,4474471,238
98,Construccion 98 SA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2017,1577654,2,4,12,98,4832632,234
99,Salud 99 LTDA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2022,1464775,3,17,3,99,5049135,125
100,Turismo 100 SAS,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2019,3580890,5,8,16,100,9716288,287
101,Educacion 101 SA,Empresa empresa del sector educacion enfocada en innovacion y crecimiento sostenible.,2015,2061773,1,2,19,101,7879404,274
102,Telecomunicaciones 102 SA,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2016,2192247,1,13,15,102,3645539,300
103,Legaltech 103 SA,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2019,4220429,5,16,14,103,397123,280
104,Retail 104 SA,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2024,2758938,3,20,13,104,1349402,260
105,Tecnologia 105 Corp,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2018,3230393,5,6,1,105,2100358,106
106,Turismo 106 Corp,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2019,2430485,3,11,16,106,3219342,46
107,Biotecnologia 107 SPA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2024,4798348,2,3,2,107,5288204,97
108,Ciberseguridad 108 SAS,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2015,3440887,1,25,8,108,2994096,192
109,Marketing Digital 109 SA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2017,4030442,4,22,10,109,9292651,281
110,Telecomunicaciones 110 SAS,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2023,394050,5,18,15,110,9015550,270
111,Agroindustria 111 LTDA,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2023,2315166,3,24,5,111,3106317,215
112,Salud 112 SA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2024,469264,3,24,3,112,5752681,192
113,Telecomunicaciones 113 LTDA,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2015,4942285,1,10,15,113,3070396,132
114,Retail 114 Corp,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2025,2947548,3,5,13,114,7200035,56
115,Legaltech 115 SA,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2016,2438067,2,24,14,115,2056538,189
116,Construccion 116 LTDA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2016,488737,3,1,12,116,7460642,114
117,Energia 117 SA,Empresa empresa del sector energia enfocada en innovacion y crecimiento sostenible.,2023,1027162,5,27,20,117,4201251,200
118,Energia 118 LTDA,Empresa empresa del sector energia enfocada en innovacion y crecimiento sostenible.,2021,4380274,5,17,20,118,2154783,279
119,Salud 119 Corp,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2017,4428032,3,7,3,119,6958411,204
120,Construccion 120 Corp,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2024,3392167,1,7,12,120,7938286,72
121,Movilidad 121 SA,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2020,1731396,4,1,4,121,6463047,200
122,Alimentos 122 Corp,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2020,4142645,2,22,17,122,9569051,213
123,Alimentos 123 Corp,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2020,4089013,4,24,17,123,3865889,126
124,Finanzas 124 SA,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2021,4035970,1,10,7,124,3175158,52
125,Proptech 125 SA,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2019,903337,5,25,11,125,2633518,103
126,Movilidad 126 LTDA,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2016,2208375,2,15,4,126,2434396,29
127,Educacion 127 SA,Empresa empresa del sector educacion enfocada en innovacion y crecimiento sostenible.,2018,3212968,5,26,19,127,1169429,285
128,Energia 128 LTDA,Empresa empresa del sector energia enfocada en innovacion y crecimiento sostenible.,2020,4880039,2,22,20,128,5765832,221
129,Tecnologia 129 SA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2017,2903572,2,24,1,129,6404387,216
130,Proptech 130 LTDA,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2020,2057056,4,21,11,130,964630,238
131,Agroindustria 131 SAS,Empresa empresa del sector agroindustria enfocada en innovacion y crecimiento sostenible.,2018,3845388,5,20,5,131,2769829,25
132,Industria 4.0 132 Corp,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2025,3335412,1,16,18,132,3804834,248
133,Turismo 133 SAS,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2020,344495,2,13,16,133,1077102,279
134,Logistica 134 SAS,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2024,2777793,4,23,6,134,6488628,193
135,Salud 135 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2022,4027578,1,17,3,135,7730490,206
136,Industria 4.0 136 SPA,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2020,2496891,4,21,18,136,8930651,200
137,Marketing Digital 137 SA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2025,848469,2,17,10,137,8081210,298
138,Logistica 138 Corp,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2020,4017195,1,4,6,138,4425354,214
139,Tecnologia 139 Corp,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2016,2316473,4,3,1,139,2807909,188
140,Salud 140 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2025,4928489,1,21,3,140,7570061,154
141,Ciberseguridad 141 SA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2017,3154684,1,22,8,141,8508510,120
142,Finanzas 142 SA,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2016,1242385,2,23,7,142,1025879,131
143,Inteligencia Artificial 143 SAS,Empresa empresa del sector inteligencia artificial enfocada en innovacion y crecimiento sostenible.,2024,2943036,2,20,9,143,6841740,257
144,Ciberseguridad 144 LTDA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2016,4061243,3,13,8,144,4967476,258
145,Salud 145 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2024,2827835,1,24,3,145,6410020,61
146,Turismo 146 SA,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2024,485363,4,20,16,146,3490912,65
147,Alimentos 147 SA,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2018,2865487,1,12,17,147,2942533,41
148,Movilidad 148 SAS,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2025,2839556,4,20,4,148,6718428,156
149,Turismo 149 Corp,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2016,380528,5,5,16,149,7174527,227
150,Telecomunicaciones 150 SPA,Empresa empresa del sector telecomunicaciones enfocada en innovacion y crecimiento sostenible.,2018,1580291,3,10,15,150,7802233,205
151,Marketing Digital 151 LTDA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2023,2093189,5,24,10,151,2042988,249
152,Marketing Digital 152 SA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2019,2365936,3,6,10,152,3861404,58
153,Industria 4.0 153 SAS,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2024,443109,5,15,18,153,9807892,251
154,Marketing Digital 154 Corp,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2025,1198320,2,23,10,154,4384563,5
155,Logistica 155 LTDA,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2022,4876161,1,25,6,155,4735205,222
156,Proptech 156 Corp,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2025,4754405,5,25,11,156,3903655,11
157,Marketing Digital 157 SPA,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2015,3739757,5,6,10,157,1346484,285
158,Ciberseguridad 158 SA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2017,2300666,5,3,8,158,1817231,247
159,Industria 4.0 159 SAS,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2025,3371221,5,12,18,159,2786898,190
160,Biotecnologia 160 Corp,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2025,3145590,5,18,2,160,278805,71
161,Inteligencia Artificial 161 LTDA,Empresa empresa del sector inteligencia artificial enfocada en innovacion y crecimiento sostenible.,2017,4366109,5,15,9,161,6513979,177
162,Ciberseguridad 162 SAS,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2018,4680021,3,26,8,162,3859302,134
163,Logistica 163 SA,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2015,821401,3,18,6,163,3518729,162
164,Biotecnologia 164 SPA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2023,1158461,1,11,2,164,3794110,71
165,Turismo 165 SA,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2018,668913,4,25,16,165,8657903,62
166,Salud 166 SA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2018,3564327,3,18,3,166,8146917,201
167,Tecnologia 167 LTDA,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2017,2080953,5,14,1,167,9811270,155
168,Finanzas 168 SAS,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2016,2444554,5,21,7,168,5444726,296
169,Alimentos 169 SA,Empresa empresa del sector alimentos enfocada en innovacion y crecimiento sostenible.,2015,3744790,1,3,17,169,2270868,39
170,Salud 170 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2016,513523,3,17,3,170,9496148,247
171,Marketing Digital 171 Corp,Empresa empresa del sector marketing digital enfocada en innovacion y crecimiento sostenible.,2017,2717143,5,19,10,171,4063872,14
172,Educacion 172 SA,Empresa empresa del sector educacion enfocada en innovacion y crecimiento sostenible.,2016,468793,1,11,19,172,7587724,257
173,Legaltech 173 SPA,Empresa empresa del sector legaltech enfocada en innovacion y crecimiento sostenible.,2015,3142685,1,27,14,173,6103727,98
174,Tecnologia 174 Corp,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2023,3761844,5,25,1,174,6863906,11
175,Proptech 175 Corp,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2019,1262979,2,5,11,175,6731659,164
176,Retail 176 LTDA,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2025,343368,1,26,13,176,9643545,273
177,Finanzas 177 Corp,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2017,2937517,2,2,7,177,910037,156
178,Salud 178 SPA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2018,1210038,1,6,3,178,6813607,143
179,Finanzas 179 Corp,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2021,2323273,1,13,7,179,8540090,52
180,Retail 180 SPA,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2021,2699831,4,13,13,180,7788524,105
181,Tecnologia 181 SAS,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2015,4034722,3,25,1,181,6099672,162
182,Industria 4.0 182 SA,Empresa empresa del sector industria 4.0 enfocada en innovacion y crecimiento sostenible.,2017,3787778,4,16,18,182,9479158,280
183,Retail 183 SAS,Empresa empresa del sector retail enfocada en innovacion y crecimiento sostenible.,2023,3153608,4,17,13,183,7669270,217
184,Proptech 184 Corp,Empresa empresa del sector proptech enfocada en innovacion y crecimiento sostenible.,2025,1677348,2,12,11,184,8387103,76
185,Ciberseguridad 185 LTDA,Empresa empresa del sector ciberseguridad enfocada en innovacion y crecimiento sostenible.,2022,3702282,2,20,8,185,339623,6
186,Energia 186 SAS,Empresa empresa del sector energia enfocada en innovacion y crecimiento sostenible.,2020,2604357,1,17,20,186,6798027,61
187,Construccion 187 SPA,Empresa empresa del sector construccion enfocada en innovacion y crecimiento sostenible.,2023,1326210,5,11,12,187,1748516,124
188,Logistica 188 SAS,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2025,1862976,2,20,6,188,3804308,155
189,Energia 189 Corp,Empresa empresa del sector energia enfocada en innovacion y crecimiento sostenible.,2024,2386460,5,25,20,189,7048694,15
190,Logistica 190 SPA,Empresa empresa del sector logistica enfocada en innovacion y crecimiento sostenible.,2016,3666145,2,27,6,190,1444557,15
191,Movilidad 191 SAS,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2015,190080,3,24,4,191,8031218,224
192,Finanzas 192 SPA,Empresa empresa del sector finanzas enfocada en innovacion y crecimiento sostenible.,2023,2751731,2,18,7,192,4057175,174
193,Tecnologia 193 SAS,Empresa empresa del sector tecnologia enfocada en innovacion y crecimiento sostenible.,2018,144922,4,14,1,193,9235565,203
194,Movilidad 194 SAS,Empresa empresa del sector movilidad enfocada en innovacion y crecimiento sostenible.,2015,3195285,1,15,4,194,339424,243
195,Turismo 195 Corp,Empresa empresa del sector turismo enfocada en innovacion y crecimiento sostenible.,2021,3181092,3,3,16,195,7844213,203
196,Salud 196 LTDA,Empresa empresa del sector salud enfocada en innovacion y crecimiento sostenible.,2024,2284578,2,26,3,196,9847292,118
197,Biotecnologia 197 LTDA,Empresa empresa del sector biotecnologia enfocada en innovacion y crecimiento sostenible.,2022,816094,2,11,2,197,8373144,294
